X,Y,DESCRIP10,BUSINESS10,USECLASS86,USECLASS96,USECLASS04,USECLASS10,ADDRESS,POSTCODE,OBJECTID
326466.8954,674963.103499999,public house,Priscilla's,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,17 ALBERT PLACE,EH7 5HN,26
326459.9869,674956.3638,Taxi dispatch,Air Trans,Class 1,Class 1,SUI GENERIS,Class 4,20 ALBERT PLACE,EH7 5HN,27
326457.9608,674953.4935,mobile phones,Unlock IT,Class 1,Class 1,Class 1,Class 1,21-22 ALBERT PLACE,EH7 5HN,28
326455.5436,674950.1666,delicatessen (polish),Tradycja,SUI GENERIS,SUI GENERIS,SUI GENERIS,Class 1,25 ALBERT PLACE,EH7 5HN,29
326452.8954,674946.570800001,vacant,vacant,Class 1,Class 1,Class 1,Vacant,26 ALBERT PLACE,EH7 5HN,30
326450.5316,674943.3627,nail salon,Glam,Class 1,Class 1,Class 1,Class 1,27 ALBERT PLACE,EH7 5HN,31
326447.9989,674939.817,hairdresser,The Cutting Room,Class 1,Class 1,Class 1,Class 1,28 ALBERT PLACE,EH7 5HN,32
326516.7658,675014.416099999,café,Word of Mouth,Class 3,SUI GENERIS,Class 3,Class 3,3A ALBERT STREET,EH7 5HL,33
326635.6299,675006.1732,chartered surveys,Randall Associates,Class 2,Class 4,Vacant,Class 4,21 ALBERT STREET,EH7 5LH,34
326656.0,675005.2599,grocer,Rajjah's Supermarket,Class 2,Vacant,Vacant,Class 1,33 ALBERT STREET,EH7 5LH,35
326679.7401,675003.629899999,estate agents,W.W. & J. Borland,Vacant,Class 2,Class 2,Class 2,45 ALBERT STREET,EH7 5LN,36
326894.1968,674991.1732,dwelling,dwelling,SUI GENERIS,SUI GENERIS,Class 4,Class 9, , ,37
326978,674989,vacant,vacant, , ,Vacant,Vacant,101 ALBERT STREET,EH7 5LY,38
326543.5577,675038.103499999,vacant,vacant,Class 1,Class 1,Class 1,Vacant, , ,39
326547.2723,675037.934599999,vacant,vacant,Class 1,Class 2,Class 2,Vacant,10 ALBERT STREET,EH7 5LG,40
326553.5196,675037.596899999,baker,Sicilian Pastry Shop,Class 1,Class 1,Class 1,Class 1,14-16 ALBERT STREET,EH7 5LG,41
326562.9869,675037.090399999,grocer,Ben Stores, , ,Class 1,Class 1,18-20 ALBERT STREET,EH7 5LG,42
326568.7277,675036.921599999,hot food take-away,Khyber Kebabs,Vacant,Class 1,SUI GENERIS,SUI GENERIS,24 ALBERT STREET,EH7 5LG,43
326118.5719,674544.116599999,vacant,vacant,Class 1,Class 1,Class 1,Vacant,13 ANTIGUA STREET,EH1 3NH,44
326121.5588,674548.934599999,fitness equipment,Powerhouse,Class 1,Class 1,Class 1,Class 1,14 ANTIGUA STREET,EH1 3NH,45
323508.8081,672456.9794,bank,Bank of Scotland / HBOS,Class 2,Class 2,Class 2,Class 2,1(GF) ARDMILLAN TERRACE,EH11 2JN,46
323508.4043,672448.266000001,hairdresser,Natisse Hairdressing,Class 1,Class 1,Class 1,Class 1,2 ARDMILLAN TERRACE,EH11 2JN,47
323507.1486,672437.788000001,chemist,Springwell Pharmacy,Class 1,Class 1,Class 1,Class 1,3 ARDMILLAN TERRACE,EH11 2JN,48
323492.2865,672283.420499999,chimney sweep,Auld Reekie,Class 1,Vacant,Class 4,Class 4,24 ARDMILLAN TERRACE,EH11 2JW,49
323492.1584,672279.322799999,"trophies, engraving",Activity Awards,Class 2,Class 1,Class 1,Class 1,25 ARDMILLAN TERRACE,EH11 2JW,50
325660.262,672359.632200001,public house,Argyle Bar/The Hide,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,15-17 ARGYLE PLACE,EH9 1JJ,51
325660.7356,672340.002499999,greengrocer,Nadia's Fruit Market,Class 4,Class 1,Class 1,Class 1,18 ARGYLE PLACE,EH9 1JJ,52
325660.262,672347.105799999,vacant,vacant,Class 1,Class 1,Class 1,Vacant,20 ARGYLE PLACE,EH9 1JJ,53
325660.7356,672352.7884,restaurant (Thai & Chinese),Hong,Class 3,Class 3,Class 3,Class 3,21 ARGYLE PLACE,EH9 1JJ,54
325660.262,672364.0529,vacant,vacant,Class 1,Class 1,Class 1,Vacant,22 ARGYLE PLACE,EH9 1JJ,55
325660.262,672368.3149,wholefoods,The New Leaf,Class 1,Class 1,Class 1,Class 1,23 ARGYLE PLACE,EH9 1JJ,56
325660.3149,672389.7356,bicycle repairs & accessories,Bicycle Works,Vacant,Class 1,Class 1,Class 1,30 ARGYLE PLACE,EH9 1JJ,57
325659.3149,672417.1587,professional services,Helen Lucas / The Roberts Partnership/ David Narro etc.,Class 2,Class 2,Class 2,Class 4,31 ARGYLE PLACE,EH9 1JT,58
325658.8942,672441.579299999,architects,Burgess Adams,Class 4,Class 1,Class 2,Class 4,38 ARGYLE PLACE,EH9 1JT,59
325658.8942,672447.262,coffee shop,Coffee House,Class 4,Class 1,Class 1,Class 3,39 ARGYLE PLACE,EH9 1JT,60
325658.8413,672456.2644,sauna,The New Gentle Touch,Class 1,Class 1,Class 11,Class 11,40 ARGYLE PLACE,EH9 1JT,61
325658.8413,672462.420700001,chartered accountant,Tang & Co,Class 1,Class 1,Class 11,Class 2,41 ARGYLE PLACE,EH9 1JT,62
325658.3678,672469.0504,quantity surveyors,Morgan Munro/Intelligent Projects,Class 4,Class 4,Class 2,Class 4,43(BF) ARGYLE PLACE,EH9 1JT,63
323351.2704,671720.432399999,office,n/a,Class 2,Class 2,Class 2,Class 4, , ,64
323342.6486,671729.054199999,hairdresser,Dian Ward Hairdressing,Vacant,Class 4,Class 1,Class 1,1E ASHLEY TERRACE,EH11 1RF,65
323339.7746,671731.928200001,photographer,Klaklack Design & Photography, , ,Class 4,Class 2,1F ASHLEY TERRACE,EH11 1RF,66
323259.7028,671820.054199999,n/t/c & grocer,M.A's Newsagents,Class 1,Class 1,Class 1,Class 1,29-30 ASHLEY TERRACE,EH11 1RE,67
323256.3514,671823.4866,soft furnishings,James Aird,Class 1,Class 1,Class 1,Class 1,32 ASHLEY TERRACE,EH11 1RE,68
323253.4775,671826.3606,architects,Studio 33,Class 1,Vacant,Class 2,Class 4,33 ASHLEY TERRACE,EH11 1RE,69
323249.793,671830.8289,clothing,toogoodforkids.com,Class 1,Class 4,Class 1,Class 1,34 ASHLEY TERRACE,EH11 1RE,70
323247.1803,671833.9641,letting agent,Craigflower Lettings,Class 1,Class 1,Class 1,Class 2,36 ASHLEY TERRACE,EH11 1RE,71
323258.9908,671855.2162,chemist,Tainsh Pharmacy,Class 1,Class 1,Class 1,Class 1,37 ASHLEY TERRACE,EH11 1RY,72
323261.8648,671852.081,beauty salon,Revive Beauty,Class 1,Class 1,Class 4,Class 1,39 ASHLEY TERRACE,EH11 1RY,73
323264.4775,671848.945800001,vacant,vacant,Class 1,Vacant,Class 4,Vacant,40 ASHLEY TERRACE,EH11 1RY,74
323268.9458,671844.522500001,chartered accountants,Owen and Co,Class 1,Class 1,Class 4,Class 2,41 ASHLEY TERRACE,EH11 1RY,75
323271.0359,671841.3873,florist,Pollination,Class 1,Class 2,Class 1,Class 1,42 ASHLEY TERRACE,EH11 1RY,76
323273.9099,671837.990800001,hairdresser,Stewarts,Class 1,Class 1,Vacant,Class 1,44 ASHLEY TERRACE,EH11 1RY,77
323276.5225,671835.116900001,sandwich bar,Blueberry Hill,Class 1,Class 1,Class 1,Class 1,45 ASHLEY TERRACE,EH11 1RY,78
323283.4324,671828.0,grocer,Margiotta, , ,Class 1,Class 1,46-50 ASHLEY TERRACE,EH11 1RY,79
327339.9492,676406.426100001,restaurant (Mongolian),Khublai Khan's Barbecue,SUI GENERIS,SUI GENERIS,Class 3,Class 3,43 ASSEMBLY STREET,EH6 7BQ,80
324313.1759,673394.9186,restaurant (Chinese),China Town,Class 3,Class 3,Class 3,Class 3,3 ATHOLL PLACE,EH3 8HP,81
324284.0945,673372.9186,engineers,Blackwood Partnership,Class 1,Class 4, ,Class 4,6-7 ATHOLL PLACE,EH3 8HP,82
324262.7297,673357.5799,vacant,vacant,Class 1,Class 4,Class 4,Vacant, , ,83
324258.7166,673348.824100001,vacant,vacant,Class 4,Class 4,Class 2,Vacant,13 ATHOLL PLACE,EH3 8HP,84
330160.5783,673983.477499999,computer centre,Standard Life, ,Class 1,Class 4,Class 4,11 BAILEYFIELD CRESCENT,EH15 1ET,85
330129.8591,673615.754899999,leisure centre,Party Planet, , ,SUI GENERIS,Class 11,39 BAILEYFIELD ROAD,EH15 1NA,86
313965.0819,670821.163699999,doctors surgery,Ratho Surgery, , ,Class 2,Class 2, , ,87
313928.5443,670872.7599,public house,Bridge Inn,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,27 BAIRD ROAD,EH28 8RU,88
324684.818,674511.602700001,cheesemonger,Ian J. Mellis,Class 1,Class 1,Class 1,Class 1,6 BAKER'S PLACE,EH3 6SY,89
324682.8038,674513.449100001,vacant,"vacant (opening soon : The Bakers Place - bakery, patisserie & cafe)",Class 1,Class 1,Class 1,Vacant,7 BAKER'S PLACE,EH3 6SY,90
324680.6218,674515.463199999,coffee shop,Starbucks,Class 1,Class 1,Class 3,Class 3,8-10 BAKER'S PLACE,EH3 6SY,91
324346.5954,670946.3005,office,Counselling Office,Class 4,Class 2,Class 2,Class 2,8 BALCARRES STREET,EH10 5JB,92
324248,670951,car showroom,Western Saab,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,21-22 BALCARRES STREET,EH10 5JD,93
326664.7146,675370.234200001,personal trainer,Griffen fitness,Class 1,Class 1,Class 1,Class 11,3 BALFOUR STREET,EH6 5BY,94
326656.3638,675380.597999999,hot food take-away,Seven Seas,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,7C BALFOUR STREET,EH6 5BY,95
326645.7146,675395.3508,vacant,vacant,Class 1,Class 1,Vacant,Vacant, , ,96
326593.7069,675468.823799999,grocer & n/t/c,A M Licensed Grocer,Class 1,Class 1,Class 1,Class 1,29 BALFOUR STREET,EH6 5DQ,97
326628.8812,675471.116900001,dental laboratory,Dental Lab, , ,Class 2,Class 2,28-30 BALFOUR STREET,EH6 5EP,98
326571.598,675036.752699999,butcher,Graham Cherrie,Class 1,Class 1,Class 1,Class 1,26 ALBERT STREET,EH7 5LG,99
326581,675042,architect,Icosis,Class 1,Class 4,Vacant,Class 4,28 ALBERT STREET,EH7 5LG,100
326581,675042,hot food take-away,Juding, , ,SUI GENERIS,SUI GENERIS,30 ALBERT STREET,EH7 5LG,101
326581,675042,scrap metal,Albert Street Metals,Class 2,Class 2,Class 4,Class 4,34 ALBERT STREET,EH7 5LG,102
326860.6535,675020.023600001,stonemason,Stone Restore,Class 4,Class 4,Class 4,Class 4,144 ALBERT STREET,EH7 5LT,103
326870.4331,675019.4803,vacant,vacant,Class 4,Vacant,Class 2,Vacant,152 ALBERT STREET,EH7 5LT,104
326882.882,675018.937000001,vacant,vacant,SUI GENERIS,SUI GENERIS,SUI GENERIS,Vacant, , ,105
326912.5669,675016.937000001,n/t/c,S & J Albert Stores,Class 1,Class 1,Class 1,Class 1,160 ALBERT STREET,EH7 5NA,106
326969.4331,675014.110200001,building insulation (storage only),Holt Insulation Ltd.,Class 1,Class 1,Class 4,Class 4,176 ALBERT STREET,EH7 5NA,107
326978.5433,675013.5669,public house,The Office,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,180 ALBERT STREET,EH7 5NA,108
327011.5433,674930.283500001,football shop,The Football Programme Shop,UNKNOWN USE,Class 1,Class 1,Class 1,5 ALBION ROAD,EH7 5QJ,109
327015.8898,674931.370100001,dwelling,dwelling,Class 1,Class 1,Class 4,Class 9, , ,110
327028.4567,674934.5669,take away food,Albion Snack Bar,Class 1,Class 1,Class 1,Class 1,11 ALBION ROAD,EH7 5QJ,111
327033.3465,674935.6535,hairdresser,Coleen's Rapid Salon,Vacant,Class 1,Class 1,Class 1,13 ALBION ROAD,EH7 5QJ,112
327199.0866,674944.5669,public house,Albion Bar,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,49 ALBION ROAD,EH7 5QP,113
327178.9134,674924.3465,car sales,Albion Road Garage,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,36-36A ALBION ROAD,EH7 5QU,114
327182.7165,674918.9134,car sales,Albion Road Garage,UNKNOWN USE,SUI GENERIS,SUI GENERIS,SUI GENERIS,38 ALBION ROAD,EH7 5QU,115
327185.4331,674912.937000001,health studio & sauna,Scorpio Leisure,Class 4,Class 11,Class 11,Class 11,42-44 ALBION ROAD,EH7 5QU,116
327226.8462,674852.429199999,grocer,Lifestyle Stop & Shop, , ,Class 1,Class 1,52 ALBION ROAD,EH7 5QZ,117
327233.7125,674848.4257,vacant,vacant, , ,Class 4,Vacant,56 ALBION ROAD,EH7 5QZ,118
327237.6131,674846.2665,vacant,vacant,Vacant,Vacant,Vacant,Vacant,58 ALBION ROAD,EH7 5QZ,119
322562.2514,672190.7041,graphic design,The Fourth Craw, , ,Class 4,Class 4,8 ALEXANDER DRIVE,EH11 2RH,120
322308.2289,670979.7711,surveyors & estate agents,Davidson & Robertson,Class 2,Class 4,Class 4,Class 4,1 ALLAN PARK ROAD,EH14 1LD,121
324554.903,673727.2347,restaurant,Howies, , ,Class 3,Class 3,1A ALVA STREET,EH2 4PH,122
324527.5305,673697.979699999,office,Abercrombie Financial Consultancy, , ,Class 1,Class 2,11(BF) ALVA STREET,EH2 4PH,123
324467.0407,673638.979699999,beauty salon,Claire's Beauty and Health,Class 1,Class 1,Class 1,Class 1,33 ALVA STREET,EH2 4PS,124
324452.842,673658.0407,ladies clothing,Meloosha,Class 3,Class 3,Class 3,Class 1,34-34B ALVA STREET,EH2 4PY,125
324943.1843,672295.889699999,bicycles,Edinburgh Bicycle Co-operative, , ,Class 1,Class 1,5-11 ALVANLEY TERRACE,EH9 1DU,126
325990.1771,676930.3616,public house,Prom Bar, , ,SUI GENERIS,SUI GENERIS,2-3 ANCHORFIELD,EH6 4JG,127
325985.6384,676931.269400001,betting shop,Fernieside Racing,Class 1,Class 4,Class 2,Class 2,5 ANCHORFIELD,EH6 4JG,128
325980.6457,676932.177100001,vacant,vacant,Class 1,Class 1,Class 1,Vacant,6 ANCHORFIELD,EH6 4JG,129
325975.5388,676933.4465,vacant,vacant,Class 1,Class 1,Class 1,Vacant,7 ANCHORFIELD,EH6 4JG,130
325970.5461,676934.3543,vacant,vacant,Class 1,Class 3,Class 3,Vacant,9 ANCHORFIELD,EH6 4JG,131
323653.1772,672446.220100001,public house,Athleic Arms,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,1-3 ANGLE PARK TERRACE,EH11 2JX,132
323649.5776,672442.033399999,electrician & plumber,AEIS,Class 2,Vacant,Vacant,Class 4,5 ANGLE PARK TERRACE,EH11 2JX,133
323645.6635,672437.3365,office,n/a,Class 2,Class 2,Class 2,Class 4,7 ANGLE PARK TERRACE,EH11 2JX,134
323639.3604,672429.1313,furniture,Olympian Pine Ltd, , ,Class 1,Class 1,(8) ANGLE PARK TERRACE,EH11 2JX,135
323594,672386,"party planning, production & events",Theme  Traders,Class 4,Class 4,Class 4,Class 4,22 ANGLE PARK TERRACE,EH11 2JX,136
323583,672368,vacant,vacant,Class 1,Vacant,Class 11,Vacant,24 ANGLE PARK TERRACE,EH11 2JT,137
323524,672303,public house,Caledonian Sample Room,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,58 ANGLE PARK TERRACE,EH11 2JR,138
323504.2805,672289.0792,n/t/c,Angle Park Newsagents,Class 1,Class 1,Class 1,Class 1,60 ANGLE PARK TERRACE,EH11 2JR,139
323500.8231,672286.2621,place of worship,Bethel House of God,Class 1,Class 1,Class 1,Class 2,62 ANGLE PARK TERRACE,EH11 2JR,140
323497.573,672283.5122,dj & diisco,Sound N Vision,Class 4,Class 4,Class 1,Class 4,64 ANGLE PARK TERRACE,EH11 2JR,141
323501.0608,672262.841600001,dwellijng,dwelling,Class 4,Vacant,Class 4,Class 9, , ,142
323504.3901,672265.4026,unknown,n/a,Class 4,Class 4,Class 4,Class 4, , ,143
323533.2073,672286.866,upholsterer,W.Irvine & Son,Class 1,Class 1,Class 4,Class 4,76 ANGLE PARK TERRACE,EH11 2JP,144
326079.6137,674827.678099999,demolished,demolished, ,Class 1,Class 1,Demolished, , ,145
326198.4673,674751.3115,car hire,Entreprise,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,12 ANNANDALE STREET,EH7 4AN,146
325925.5461,676939.4539,hot food take-away (Indian),Urooj,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,3 ANNFIELD,EH6 4JF,147
325886.262,676944.723300001,public house,The Annfield,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,10 ANNFIELD,EH6 4JF,148
326088.4332,674489.1985,restaurant,Ferri's Restaurant,Class 3,SUI GENERIS,Class 3,Class 3,1 ANTIGUA STREET,EH1 3NH,149
326090.7004,674493.732799999,hot food take-away,Deep Sea Fish & Chips,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,2 ANTIGUA STREET,EH1 3NH,150
326096.1915,674503.2906,restaurant,Mama Roma, , ,Class 3,Class 3,4-7 ANTIGUA STREET,EH1 3NH,151
326106.7646,674520.552100001,pictures & picture framing,L. Freedman,Class 1,Class 1,Class 1,Class 1,8 ANTIGUA STREET,EH1 3NH,152
326107.9703,674523.0,restaurant,Gurkha Brigade,Class 3,Class 3,Class 3,Class 3,9A ANTIGUA STREET,EH1 3NH,153
326050.43,673529.3236,internet café,E Corner, , ,Vacant,Class 3,54 BLACKFRIARS STREET,EH1 1NE,154
326051.8914,673524.6472,vacant,"vacant (formerly Zara, hot food take away)",Class 1,Class 1,Class 1,Vacant,56 BLACKFRIARS STREET,EH1 1NE,155
327837.3064,675703.629000001,converted to residential,dwelling,Class 1,Class 1,Class 1,Class 9, , ,156
326365.1086,672390.785,dwelling,dwelling, , ,Vacant,Class 9, , ,157
325915.1691,673564.0,office,Transition (Turning Point Scotland),Class 1,Vacant,Class 4,Class 4,15 BLAIR STREET,EH1 1QR,158
325921.2464,673541.4155,public house,The City Café, , ,SUI GENERIS,SUI GENERIS,19 BLAIR STREET,EH1 1QR,159
325948.5508,673530.09,sauna,Blair Street Sauna,Class 11,Class 11,Class 11,Class 11,30 BLAIR STREET,EH1 1QR,160
325950.5386,673524.5845,restaurant,Marlin's Wynd, , ,Class 3,Class 3,34A BLAIR STREET,EH1 1QR,161
325952.2464,673516.2609,public house,Cabaret Voltaire Bar, , ,SUI GENERIS,SUI GENERIS,36-38 BLAIR STREET,EH1 1QR,162
326156.9608,674485.260399999,bank,Royal Bank of Scotland,Class 2,Class 2,Class 2,Class 2,2-3A BLENHEIM PLACE,EH7 5JH,163
326168.1819,674484.052300001,pets & pet supplies,Dofos Pet Centre, , ,Class 1,Class 1,4 BLENHEIM PLACE,EH7 5JH,164
321359,668267,grocer,The Bonaly Corner Shop, , ,Class 1,Class 1,2 BONALY AVENUE,EH13 0ET,165
325570.8855,676200.934599999,designer radiators,The Radiator Store,Class 1,Class 1,Class 1,Class 1, , ,166
326205.3506,675735.588099999,fabrics,The Cloth Shop, ,Class 1,Class 1,Class 1,169 BONNINGTON ROAD,EH6 5BQ,167
326710.0784,676148.1779,public house,Fox's Bar,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,8 BONNINGTON ROAD,EH6 5JD,168
326707.6282,676141.4241,café,Now Reast,Class 3,Class 3,Vacant,Class 3,10-12 BONNINGTON ROAD,EH6 5JD,169
326189.1782,675774.9387,grocer,Best One,Class 2,Vacant,Class 1,Class 1,264 BONNINGTON ROAD,EH6 5BE,170
326181.1169,675769.4713,hairdresser,Amor, , ,Class 2,Class 1,268 BONNINGTON ROAD,EH6 5BE,171
326176.6475,675765.588099999,dwelling,dwelling,Class 1,Class 1,Vacant,Class 9, , ,172
326112.0784,674531.1819,restaurant,Massimo, , ,Class 3,Class 3,10-11 ANTIGUA STREET,EH1 3NH,173
322253.822,671986.266899999,mobile disco,Chaplins Disco,Class 4,Class 4,Class 4,Class 4,191 BALGREEN ROAD,EH11 2RZ,174
322255.2147,671982.7853,hot food take-away (Chinese),B.M.,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,193 BALGREEN ROAD,EH11 2RZ,175
322256.6518,671979.3037,sandwich bar & outside catering,Primo Catering, , ,Class 1,Class 1,195 BALGREEN ROAD,EH11 2RZ,176
322257.6073,671974.955499999,hairdresser,Cheryl Macgillivray Hair, , ,Vacant,Class 1,197 BALGREEN ROAD,EH11 2RZ,177
322262.178,671967.814300001,skateboard store,Focus Skateboard Store,Class 1,Class 4,Class 1,Class 1,199 BALGREEN ROAD,EH11 2RZ,178
322263.9188,671963.9845,hot food take-away,Balgreen Fryer Fish Bar,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,203 BALGREEN ROAD,EH11 2RZ,179
322274.3404,671944.6963,performing arts centre,MGA Academy of Performance Arts,SUI GENERIS,SUI GENERIS,SUI GENERIS,Class 4, , ,180
322285.8066,671918.1412,vacant,vacant,Vacant,Vacant,Vacant,Vacant,213 BALGREEN ROAD,EH11 2RZ,181
322288.5919,671913.963300001,vacant,vacant,Class 4,Class 4,Vacant,Vacant,215 BALGREEN ROAD,EH11 2RZ,182
322291.029,671910.1335,estate agent,Remax, , ,Vacant,Class 2,219 BALGREEN ROAD,EH11 2RZ,183
322299.0367,671906.3037,betting shop,William Hill,Class 2,Class 2,Class 2,Class 2,221-223 BALGREEN ROAD,EH11 2RZ,184
322307.7408,671907.0,sports equipment & clothing,Country Life,Class 1,Class 1,Class 1,Class 1,229 BALGREEN ROAD,EH11 2RZ,185
322022.5243,672316.936000001,hot food take-away (Chinese),Lucky Star,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,154 BALGREEN ROAD,EH11 3AU,186
322027.5574,672310.749399999,charity office,Downs Syndrome Scotland,Class 1,Class 2,Class 2,Class 2,158-160 BALGREEN ROAD,EH11 3AU,187
322033.5343,672303.619100001,hairdresser,Senga's,Class 1,Class 1,Class 1,Class 1,164 BALGREEN ROAD,EH11 3AU,188
322039.5111,672296.6986,grocer,Day Today,Vacant,Vacant,Class 1,Class 1,166 BALGREEN ROAD,EH11 3AU,189
322046.0971,672289.741699999,n/t/c & post office,Balgreen Rd. Sub Post Office,Class 1,Class 1,Class 1,Class 1,170 BALGREEN ROAD,EH11 3AU,190
327438.3153,676431.334899999,vacant,vacant,Vacant,Class 9,Class 1,Vacant,4 BALTIC STREET,EH6 7BW,191
326638.0733,676247.502499999,greeting cards,My Cards,Vacant,Class 2, ,Class 1,3 BANGOR ROAD,EH6 5JY,192
326466.4191,676068.349199999,knitwear,James Pringle Shopping Warehouse (Edinburgh Woollen Mill), , ,Class 1,Class 1,70-74 BANGOR ROAD,EH6 5JU,193
325583.785,673632.338199999,"home entertainment, tapes, cds",Coda Music, , ,Class 1,Class 1,12 BANK STREET,EH1 2LN,194
325590.8309,673632.091800001,knitwear,Scottish Mills,Class 1,Vacant,Class 1,Class 1,14 BANK STREET,EH1 2LN,195
325593.4614,673624.785,take-away food,Caffé Espresso,SUI GENERIS,Class 1,Class 1,SUI GENERIS,15 BANK STREET,EH1 2LN,196
325594.3382,673618.4155,photographic goods,Castle Photographic,Class 1,Class 1,Class 1,Class 1,16 BANK STREET,EH1 2LN,197
325595.7223,673610.5386,vacant,vacant (formerly R.L. Chistie),Class 1,Class 1,Class 1,Vacant,17-20 BANK STREET,EH1 2LN,198
319420.0503,670788.455399999,bank,Bank of Scotland,Class 2,Class 2,Class 2,Class 2,10 BANKHEAD AVENUE,EH11 4HD,199
319399.9475,670798.176899999,bank,Clydesdale Bank,Class 2,Class 2,Class 2,Class 2,12 BANKHEAD AVENUE,EH11 4HD,200
319184.0503,671167.6007,gas appliances,Calor Shop, , ,Class 1,Class 1,6K BANKHEAD CROSSWAY NORT,EH11 4BP,201
318682.0,671248.6941,car showroom,Arnold Clark, , ,SUI GENERIS,SUI GENERIS,16-18 BANKHEAD DRIVE,EH11 4DJ,202
