X,Y,DESCRIP04,BUSINESS04,USECLASS86,USECLASS96,USECLASS04,USECLASS10,ADDRESS,POSTCODE,OBJECTID
326794.4614,673934.384099999,restaurant,Café at the Palace,Class 3,Class 9,Class 3,Class 3,9 ABBEY STRAND,EH8 8DU,1
326798.6326,673897.5408,souvenirs,Queen's Gallery Shop, , ,Class 1,Class 1,9(GF) ABBEY STRAND,EH8 8DU,2
326818,674116,n/a,n/a, , ,UNKNOWN USE,Vacant,55 ABBEYHILL,EH8 8EA,3
328372.6636,674066.014799999,building consultants,Foundations,Class 2,Class 4,Class 4,Class 4,4 ABERCORN ROAD,EH8 7DE,4
325554.6038,674408.7689,restaurant,Bellini, , ,Class 3,Class 3,8B ABERCROMBY PLACE,EH3 6LB,5
327065.6429,675875.6072,vacant,vacant,Vacant,Class 2,Vacant,Vacant,4 ACADEMY STREET,EH6 7EF,6
326540.7538,676593.450300001, , ,Vacant,Class 9,Class 9, , , ,7
326545.0261,676599.0733, , ,Vacant,Class 9,Class 9, , , ,8
326547.9528,676602.6754, , ,Vacant,Class 9,Class 9, , , ,9
325604.971,674390.9144,public house,The Magnum,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,1 ALBANY STREET,EH1 3PY,10
325662.4572,674406.743100001,medals and engravers,Alex Kirkwood and Sons, , ,Class 1,Class 1,13(GF) ALBANY STREET,EH1 3PY,11
325596.783,674420.320800001,hairdresser,Charles Kivlin Hair Studio,Class 1,Class 1,Class 1,Class 1,2 ALBANY STREET,EH1 3QB,12
325600.3632,674421.5142,storeroom,Charles Kilvin Hair studio,Class 2,Class 4,Class 4,Class 1,4 ALBANY STREET,EH1 3QB,13
326504.1046,675014.6623,videotape hire,Azad,Class 1,Class 1,Class 1,Vacant,1 ALBERT PLACE,EH7 5HN,14
326499.3377,675008.6754,hairdresser,Helen Dean,Class 1,Class 1,Class 1,Class 1,3 ALBERT PLACE,EH7 5HN,15
326496.9739,675005.3377,restaurant & hot food take-away,Naz Tandoori,Vacant,Class 3,Class 3,Class 3,4 ALBERT PLACE,EH7 5HN,16
326488.2593,674992.1688,betting shop,William Hill,Vacant,Class 2,Class 2,Vacant,5 ALBERT PLACE,EH7 5HN,17
326493.3246,674999.260399999,grocer,Star Premier,Class 1,Class 1,Class 1,Class 1,7-8 ALBERT PLACE,EH7 5HN,18
326485.1558,674987.8442,café,Hot Stuff,Vacant,Class 1,Class 3,Class 1,9 ALBERT PLACE,EH7 5HN,19
326482.6623,674984.8181,post office,Post Office,Class 1,Class 1,Class 1,Class 1,10 ALBERT PLACE,EH7 5HN,20
326480.0,674981.0131,hot food take-away,Golden Star,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,12 ALBERT PLACE,EH7 5HN,21
326477.1296,674977.2985,travel agent,Airlink Travel (Scotland) Ltd.,Class 1,Class 1,Class 1,Class 1,13 ALBERT PLACE,EH7 5HN,22
326473.1427,674971.883400001,restaurant,Sugo, , ,Class 3,Class 3,14-15 ALBERT PLACE,EH7 5HN,23
326466.8954,674963.103499999,public house,The Old Salt,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,17 ALBERT PLACE,EH7 5HN,24
326459.9869,674956.3638,scooters,Go Go Goped,Class 1,Class 1,SUI GENERIS,Class 4,20 ALBERT PLACE,EH7 5HN,25
326457.9608,674953.4935,mobile phones,Fone Home,Class 1,Class 1,Class 1,Class 1,21-22 ALBERT PLACE,EH7 5HN,26
